City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Noyabrsk,RU,63.1994,75.4507,64.47,56,100,11.54,overcast clouds
80,Santa Cruz Do Capibaribe,BR,-7.9575,-36.2047,66.6,81,87,11.12,overcast clouds
81,Chokurdakh,RU,70.6333,147.9167,51.04,47,30,7.05,scattered clouds
82,Yar-Sale,RU,66.8333,70.8333,55.08,98,100,11.97,light rain
83,Berlevag,NO,70.8578,29.0864,44.6,94,100,14.27,light rain
84,Airai,TL,-8.9266,125.4092,77.59,41,17,4.16,few clouds
85,Vardo,NO,70.3705,31.1107,48.4,93,100,17.36,overcast clouds
86,Sao Filipe,CV,14.8961,-24.4956,75.25,76,16,0.89,few clouds
87,Tecoanapa,MX,16.5167,-98.75,80.55,85,94,3.94,overcast clouds
88,Ler,SS,8.3018,30.1418,70.54,97,99,7.9,light rain
89,Flagstaff,US,35.1981,-111.6513,72.79,80,1,5.01,clear sky
90,Katherine,AU,-14.4667,132.2667,91.72,35,11,4.61,few clouds
91,Oranjemund,NA,-28.55,16.4333,54.95,74,0,6.55,clear sky
92,Balabac,PH,7.9868,117.0645,86.5,70,55,17.81,broken clouds
93,Waingapu,ID,-9.6567,120.2641,84.7,62,72,13.13,broken clouds
94,Gilbues,BR,-9.8317,-45.3439,70.18,49,61,7.58,broken clouds
95,Portland,US,45.5234,-122.6762,82.6,58,20,1.99,few clouds
96,Khatanga,RU,71.9667,102.5,71.94,46,87,5.5,overcast clouds
97,Kaitangata,NZ,-46.2817,169.8464,53.92,73,100,4.81,overcast clouds
98,Nichinan,JP,31.6,131.3667,90.55,68,100,9.24,overcast clouds
99,Dawei,MM,14.0833,98.2,81.91,87,100,9.6,overcast clouds
100,Carnarvon,AU,-24.8667,113.6333,62.67,37,0,21.85,clear sky
101,Ilulissat,GL,69.2167,-51.1,57.22,41,0,25.32,clear sky
102,Narsaq,GL,60.9167,-46.05,55.62,98,100,2.73,moderate rain
103,Klaksvik,FO,62.2266,-6.589,47.32,79,98,4.52,overcast clouds
104,Upernavik,GL,72.7868,-56.1549,41.38,82,2,10.4,clear sky
105,Port Alfred,ZA,-33.5906,26.891,59.94,85,88,10.4,light rain
106,Bluff,NZ,-46.6,168.3333,44.8,91,100,12.84,light rain
107,Progreso,MX,21.2833,-89.6667,80.71,81,89,11.72,overcast clouds
108,Iqaluit,CA,63.7506,-68.5145,49.73,93,90,1.99,light rain
109,Mae Hong Son,TH,19.3003,97.9685,80.74,83,75,2.3,broken clouds
110,Mehamn,NO,71.0357,27.8492,46.58,93,75,18.41,moderate rain
111,Karratha,AU,-20.7377,116.8463,74.73,27,0,17.49,clear sky
112,Kropotkin,RU,45.4375,40.5756,78.13,49,0,5.41,clear sky
113,Polyarnyye Zori,RU,67.3661,32.4981,54.9,100,73,5.46,broken clouds
114,Belmonte,BR,-15.8631,-38.8828,64.9,74,100,12.68,overcast clouds
115,Villanueva,HN,15.3167,-88.0,79.79,83,40,10.36,scattered clouds
116,Boguchar,RU,49.9358,40.545,78.26,53,1,3.18,clear sky
117,Dickinson,US,29.4608,-95.0513,86.2,80,1,1.01,clear sky
118,Katsuura,JP,35.1333,140.3,89.71,83,84,10.85,broken clouds
119,Kamenka,RU,51.3223,42.7678,75.63,56,4,6.2,clear sky
120,Sola,VU,-13.8833,167.55,81.27,54,75,0.0,broken clouds
121,Kruisfontein,ZA,-34.0033,24.7314,55.89,96,94,5.21,moderate rain
122,Simbahan,PH,6.3032,120.5836,84.06,74,77,12.24,broken clouds
123,Kushima,JP,31.4583,131.2333,90.91,66,100,9.22,overcast clouds
124,Thompson,CA,55.7435,-97.8558,71.76,60,90,9.22,smoke
125,Coquimbo,CL,-29.9533,-71.3436,53.33,87,0,6.91,clear sky
126,Urucara,BR,-2.5364,-57.76,75.4,81,100,2.48,overcast clouds
127,San Patricio,US,28.017,-97.5169,86.09,74,1,13.15,clear sky
128,Avarua,CK,-21.2078,-159.775,77.05,88,40,11.5,light rain
129,Cidreira,BR,-30.1811,-50.2056,53.33,94,3,4.97,clear sky
130,Mar Del Plata,AR,-38.0023,-57.5575,42.1,31,90,8.99,overcast clouds
131,Geraldton,AU,-28.7667,114.6,61.12,67,64,14.97,broken clouds
132,Lebu,CL,-37.6167,-73.65,49.24,82,5,16.28,clear sky
133,Solnechnyy,RU,50.7214,136.6319,76.32,58,79,5.59,broken clouds
134,Newport,GB,51.5877,-2.9984,57.63,90,69,8.57,broken clouds
135,Palana,RU,59.1167,159.9667,45.3,94,100,10.33,light rain
136,Burley,US,42.5357,-113.7928,71.56,73,20,8.05,few clouds
137,Half Moon Bay,US,37.4636,-122.4286,67.91,77,20,10.36,few clouds
138,Yerbogachen,RU,61.2767,108.0108,76.84,37,100,10.67,overcast clouds
139,Puerto Escondido,MX,15.85,-97.0667,81.57,81,96,3.87,overcast clouds
140,Dryden,CA,49.7833,-92.7503,66.49,63,90,5.75,overcast clouds
141,Houma,US,29.5958,-90.7195,82.99,85,1,0.0,clear sky
142,Shilovo,RU,54.3204,40.874,73.08,58,31,5.41,scattered clouds
143,Tarakan,ID,3.3,117.6333,83.7,74,40,6.91,scattered clouds
144,Victoria,HK,22.2855,114.1577,91.96,86,100,5.99,light rain
145,Marzuq,YE,14.4,46.4667,79.11,66,33,4.56,scattered clouds
146,Saint George,US,37.1041,-113.5841,92.62,27,1,1.01,clear sky
147,Arraial Do Cabo,BR,-22.9661,-42.0278,65.64,73,22,13.82,few clouds
148,Arlit,NE,18.7369,7.3853,91.94,34,8,12.06,clear sky
149,Georgetown,MY,5.4112,100.3354,87.89,73,20,4.0,few clouds
150,Dingle,PH,10.9995,122.6711,89.44,62,98,16.67,overcast clouds
151,Hobart,AU,-42.8794,147.3294,57.06,57,75,5.01,broken clouds
152,Taoudenni,ML,22.6783,-3.9836,97.34,28,83,14.16,broken clouds
153,Lasa,IT,46.6166,10.7002,56.28,89,88,4.76,overcast clouds
154,Isangel,VU,-19.55,169.2667,57.31,100,75,5.75,broken clouds
155,Koutsouras,GR,35.0339,25.9469,84.31,47,0,12.93,clear sky
156,Nikolskoye,RU,59.7035,30.7861,60.03,76,100,4.83,overcast clouds
157,Sorland,NO,67.667,12.6934,49.19,76,100,14.38,overcast clouds
158,Ribeira Grande,PT,38.5167,-28.7,72.72,95,24,11.34,few clouds
159,Bar Harbor,US,44.3876,-68.2039,61.93,82,75,5.75,broken clouds
160,Oktyabrskiy,RU,54.4815,53.471,76.28,42,69,4.21,broken clouds
161,Hambantota,LK,6.1241,81.1185,84.54,79,20,16.11,few clouds
162,Waipawa,NZ,-41.4122,175.5153,52.43,73,13,5.48,few clouds
163,Aswan,EG,24.0934,32.907,85.3,15,0,2.3,clear sky
164,Torbay,CA,47.6666,-52.7314,58.75,92,75,14.97,broken clouds
165,Bridgetown,BB,13.1,-59.6167,81.09,78,40,10.36,scattered clouds
166,Gizo,SB,-8.103,156.8419,81.19,79,37,12.44,light rain
167,Namibe,AO,-15.1961,12.1522,66.15,87,4,1.81,clear sky
168,Seidu,SL,9.0167,-10.6,67.69,99,99,3.53,light rain
169,Aklavik,CA,68.2191,-135.0107,74.12,62,97,10.89,overcast clouds
