City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
254,Coahuayana,MX,79.54,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
255,Pizarro,CO,77.27,light rain,4.9533,-77.366,Hotel Limonar
256,Key Biscayne,US,86.02,broken clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
260,Safaga,EG,85.95,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
263,Pedasi,PA,80.4,overcast clouds,7.5333,-80.0333,Selina Pedasi
270,Nandura,IN,79.45,overcast clouds,20.8333,76.45,Deepika Infratech Pvt Ltd
271,Urumqi,CN,76.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
275,Bawku,GH,75.27,scattered clouds,11.0616,-0.2417,Ultimate Guest House
278,Shenjiamen,CN,81.9,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
282,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
287,Klyuchi,RU,81.14,few clouds,52.2667,79.1667,Vesolaya Mayovka
291,Riyadh,SA,86.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
293,Ishimbay,RU,75.58,overcast clouds,53.4545,56.0415,Bashneft
297,Araria,IN,79.61,moderate rain,26.15,87.5167,Ravin Hotel
298,Swift Current,CA,77.81,clear sky,50.2834,-107.8014,"Motel 6 Swift Current, SK"
299,Mehriz,IR,77.5,broken clouds,31.5917,54.4318,Mehrgard dwelling/سرای مهرگرد
302,Maningrida,AU,86.63,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
308,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
309,Tando Adam,PK,86.05,scattered clouds,25.7637,68.661,Mukhtair ahmed oil flour shop
313,Sinjar,IQ,89.96,clear sky,36.3209,41.8754,زوماني فون 1
315,Vaitape,PF,77.88,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
317,Norman Wells,CA,84.24,smoke,65.282,-126.8329,Heritage Hotel
318,Gaya,IN,87.71,haze,24.7833,85.0,SPOT ON 61644 Hotel Kumar Kripa
321,Manaure,CO,82.62,clear sky,11.7751,-72.4445,Hotel Palaaima
326,Tura,IN,79.97,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
327,Yuzhne,UA,75.42,clear sky,46.6221,31.1013,Чорноморська Симфонія
329,Fairbanks,US,77.34,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
333,Labuhan,ID,87.49,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
338,Port Blair,IN,83.35,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
340,Russell,US,79.88,clear sky,32.3502,-85.1999,Macs
344,Manokwari,ID,84.33,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
350,Qesarya,IL,75.51,clear sky,32.5189,34.9046,Dan Caesarea Resort - Happiness Is Around
351,Crotone,IT,83.43,few clouds,39.0851,17.1178,Helios Hotel
353,Mahibadhoo,MV,82.58,overcast clouds,3.7833,72.9667,Omadhoo Inn
357,Kaithal,IN,89.8,scattered clouds,29.8,76.3833,Koel Complex
359,Sibolga,ID,85.03,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
362,Sal Rei,CV,75.76,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
363,Natchitoches,US,83.25,broken clouds,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
366,Pucallpa,PE,77.04,scattered clouds,-8.3791,-74.5539,Hospedaje Komby
367,Fukue,JP,84.56,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
369,Date,JP,79.3,overcast clouds,42.4681,140.8681,静香荘
370,Anton Lizardo,MX,78.22,broken clouds,19.05,-95.9833,Hotel CocoAventura
375,Vancouver,CA,76.15,smoke,49.2497,-123.1193,"Park Inn & Suites by Radisson Vancouver, BC"
386,Botou,CN,84.25,light rain,38.0667,116.5667,Hanting Hotel Huanghua City Hall
391,Marawi,PH,84.92,broken clouds,7.9986,124.2928,Derogongan Residence
393,Hirara,JP,84.47,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
396,Kieta,PG,82.63,light rain,-6.2167,155.6333,Uruna Bay Retreat
398,Kupang,ID,88.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
406,Big Spring,US,78.28,scattered clouds,32.2504,-101.4787,Hampton Inn & Suites Big Spring
407,College,US,77.32,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
410,Salinopolis,BR,76.87,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
415,Lazaro Cardenas,MX,80.49,few clouds,17.9583,-102.2,quinta antigua
418,Meulaboh,ID,83.55,overcast clouds,4.1363,96.1285,Kost Pria
420,Fort Nelson,CA,89.19,smoke,58.8053,-122.7002,The Fort Nelson Hotel
423,Sabha,LY,82.76,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
429,Auki,SB,80.42,scattered clouds,-8.7676,160.7034,Auki Motel
437,Samarai,PG,79.32,overcast clouds,-10.6167,150.6667,Nuli Sapi
441,Jalu,LY,82.02,clear sky,29.0331,21.5482,صاحبة الفخامة
443,Zhezkazgan,KZ,89.26,clear sky,47.8043,67.7144,Hotel Zumrat
445,Pakxan,LA,79.27,overcast clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
447,Benghazi,LY,80.6,clear sky,32.1167,20.0667,Tibesti Hotel
448,Ugoofaaru,MV,83.1,overcast clouds,5.6667,73.0,Ungoofaaru Inn
449,Lubao,PH,89.62,moderate rain,14.9167,120.55,Hacienda Gracia
451,Ciudad Bolivar,VE,76.14,overcast clouds,8.1222,-63.5497,Hotel Edi
452,Port Keats,AU,85.15,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
453,Acarau,BR,75.43,scattered clouds,-2.8856,-40.12,castelo pizzaria
454,Starkville,US,76.77,broken clouds,33.4504,-88.8184,Hilton Garden Inn Starkville
458,Guacimo,CR,81.18,overcast clouds,10.2104,-83.6807,Hotel Los Ríos
461,Matay,EG,81.64,clear sky,28.419,30.7792,Nag Aespen
464,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
465,Les Cayes,HT,78.62,scattered clouds,18.2,-73.75,Villa Orphee
467,Haapiti,PF,78.53,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
477,Cabo San Lucas,MX,87.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
484,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
485,Ixtapa,MX,77.31,broken clouds,20.7,-105.2,Hotel Plaza Providencia
494,Kuntaur,GM,75.38,overcast clouds,13.6667,-14.8833,Kairoh Garden Kuntaur
497,Itarema,BR,75.11,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
498,Celestun,MX,81.28,overcast clouds,20.8667,-90.4,Posada Lilia
501,Kirakira,SB,79.47,overcast clouds,-10.4544,161.9205,SanBiz Lodge
507,Tagusao,PH,86.92,scattered clouds,9.1924,117.8141,Toledo
510,Pontianak,ID,84.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
522,Hobyo,SO,77.25,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
525,Ewa Beach,US,85.95,clear sky,21.3156,-158.0072,Uncle Junior Robert
526,Praia,CV,75.74,few clouds,14.9215,-23.5087,LT Aparthotel
533,Aginskoye,RU,75.65,clear sky,51.1,114.53,Кочевник
534,Locri,IT,86.58,scattered clouds,38.2414,16.2623,Grand Hotel President
536,Komsomolskiy,UZ,83.12,few clouds,40.4272,71.7189,Ikathouse
538,Bajil,YE,89.08,overcast clouds,15.0584,43.2851,فندق حضرموت
545,Tutoia,BR,75.94,broken clouds,-2.7619,-42.2744,Pousada Guará's
548,Stephenville,US,75.92,light rain,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
553,Eyl,SO,79.88,scattered clouds,7.9803,49.8164,Amiin Hotel
557,Bhadasar,IN,87.51,overcast clouds,28.2833,74.3167,OMPRAKASH JAKHAR
559,Ormara,PK,82.22,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
563,Port Hedland,AU,75.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
567,Myitkyina,MM,84.24,broken clouds,25.3833,97.4,Shwe Phyu Hotel
569,Kalianget,ID,85.03,broken clouds,-7.05,113.9333,Pesanggrahan Garam
572,Xining,CN,78.94,broken clouds,36.6167,101.7667,Super Leisure Hotel
575,Zdvinsk,RU,75.04,broken clouds,54.7021,78.661,Hotel Siberia
584,Smidovich,RU,79.21,broken clouds,48.6,133.8167,Gostinnitsa
586,Kudahuvadhoo,MV,81.99,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
587,Sabang,ID,83.53,overcast clouds,5.8933,95.3214,Hotel Citra
588,Zhaotong,CN,75.33,clear sky,27.3167,103.7167,Jingguan Home
591,Buraydah,SA,81.05,clear sky,26.326,43.975,فندق راحة السلام
592,Bardiyah,LY,77.85,clear sky,31.7561,25.0865,بورتو بردية
596,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
598,Phuket,TH,86.22,scattered clouds,8.0,98.25,The Surin Phuket
599,Mount Pleasant,US,84.2,few clouds,32.7941,-79.8626,Best Western Patriots Point
601,Lorengau,PG,85.55,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
603,Zhigansk,RU,79.41,clear sky,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
604,Viransehir,TR,89.42,overcast clouds,37.2353,39.7631,Viranşehir Öğretmenevi
606,Sohag,EG,84.49,few clouds,26.557,31.6948,Civil Registry - Sohag 1
608,Finschhafen,PG,81.1,broken clouds,-6.6024,147.8681,Cossam Guest House
614,Natal,BR,75.85,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
617,Black River,JM,80.6,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
618,Havelock,US,78.94,scattered clouds,34.8791,-76.9013,Sherwood Motel
620,Luwuk,ID,85.26,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
626,Kralendijk,BQ,82.38,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
629,Seoul,KR,83.59,light rain,37.5683,126.9778,롯데호텔 서울
635,Lisakovsk,KZ,78.85,few clouds,52.5369,62.4936,Gostinitsa Lisakovsk
636,Haines Junction,CA,78.75,broken clouds,60.7522,-137.5108,Parkside Inn
637,Sarankhola,BD,80.28,overcast clouds,22.3082,89.7897,SDC Cyclone Shelter Fokirbari Shonatola
644,Manati,PR,80.58,scattered clouds,18.4275,-66.4921,Manati World Point Inn
645,Kahului,US,83.46,few clouds,20.8947,-156.47,Maui Seaside Hotel
646,Dawlatabad,AF,89.42,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
650,Whitehorse,CA,86.02,few clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
652,Namatanai,PG,82.31,light rain,-3.6667,152.4333,Seagulls Inn Namatani
654,Bubaque,GW,78.87,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
655,Borovskoy,KZ,75.38,broken clouds,53.8,64.15,Аренда жилья/Баня
657,La Romana,DO,82.13,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
658,Kavaratti,IN,82.4,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
659,Namuac,PH,89.06,moderate rain,18.6109,121.1657,Mlin Hotel
660,Guatire,VE,77.5,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
666,Kinablangan,PH,86.83,overcast clouds,7.6947,126.5503,Danny Moreno Property
667,Boa Vista,BR,75.18,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
673,Soe,ID,83.39,scattered clouds,-9.8607,124.284,Dena Hotel
680,Santa Marta,CO,86.05,scattered clouds,11.2408,-74.199,Casa de Isabella
681,Ito,JP,86.77,overcast clouds,34.9667,139.0833,伊東小涌園
682,Takaungu,KE,75.29,few clouds,-3.6837,39.8566,Takaungu House
684,Acaponeta,MX,77.45,overcast clouds,22.4964,-105.3594,Hotel Casa Blanca
685,Samana,DO,78.71,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
687,La Cruz,MX,80.49,overcast clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
689,Ban Chang,TH,86.49,few clouds,12.7254,101.0553,Grand Garden Hotel
